qseqid	sseqid	evalue	bitscore	score	pident
99_CONO_4same	sp|P60274|CA1D_CONGE	7.86e-08	30.4	67	57.576
100_CONO_4same	sp|P60274|CA1D_CONGE	2.11e-08	32.0	71	32.500
101_CONO_4same	sp|P60274|CA1D_CONGE	1.15e-04	22.3	46	35.000
103_CONO_4same	sp|P60274|CA1D_CONGE	1.84e-05	24.3	51	35.938
104_CONO_4same	sp|P60274|CA1D_CONGE	1.29e-07	30.0	66	42.553
106_CONO_4same	sp|P60274|CA1D_CONGE	3.34e-09	33.9	76	34.921
107_CONO_4same	sp|P60274|CA1D_CONGE	5.53e-05	23.1	48	26.087
108_CONO_4same	sp|P60274|CA1D_CONGE	0.073	15.0	27	66.667
109_CONO_4same	sp|P60274|CA1D_CONGE	3.43e-13	44.3	103	38.889
110_CONO_4same	sp|P60274|CA1D_CONGE	8.04e-09	33.1	74	40.909
112_CONO_4same	sp|P60274|CA1D_CONGE	0.003	18.5	36	37.500
113_CONO_4same	sp|P60274|CA1D_CONGE	4.97e-12	41.2	95	49.153
114_CONO_4same	sp|P60274|CA1D_CONGE	5.60e-12	41.2	95	33.333
115_CONO_4same	sp|P60274|CA1D_CONGE	0.007	17.3	33	25.000
117_CONO_5same	sp|P60274|CA1D_CONGE	3.17e-08	31.6	70	48.837
119_CONO_5same	sp|P60274|CA1D_CONGE	7.64e-11	38.1	87	47.917
121_CONO_5same	sp|P60274|CA1D_CONGE	3.39e-12	41.6	96	46.296
122_CONO_5same	sp|P60274|CA1D_CONGE	0.088	14.6	26	45.652
123_CONO_5same	sp|P60274|CA1D_CONGE	1.30e-04	22.3	46	38.095
124_CONO_5same	sp|P60274|CA1D_CONGE	0.016	16.5	31	33.333
126_CONO_5same	sp|P60274|CA1D_CONGE	1.19e-11	40.4	93	48.148
127_CONO_5same	sp|P60274|CA1D_CONGE	4.90e-07	28.5	62	38.710
128_CONO_5same	sp|P60274|CA1D_CONGE	3.00e-06	26.6	57	45.161
129_CONO_5same	sp|P60274|CA1D_CONGE	1.92e-11	39.7	91	46.809
130_CONO_5same	sp|P60274|CA1D_CONGE	3.69e-15	49.3	116	51.515
131_CONO_5same	sp|P60274|CA1D_CONGE	1.27e-09	35.0	79	39.394
132_CONO_5same	sp|P60274|CA1D_CONGE	0.006	17.7	34	21.154
133_CONO_5same	sp|P60274|CA1D_CONGE	2.03e-09	34.7	78	33.333
134_CONO_5same	sp|P60274|CA1D_CONGE	3.59e-07	28.9	63	33.333
135_CONO_5same	sp|P60274|CA1D_CONGE	4.04e-12	41.6	96	41.538
136_CONO_5same	sp|P60274|CA1D_CONGE	5.06e-10	36.2	82	36.842
137_CONO_5same	sp|P60274|CA1D_CONGE	2.76e-06	26.6	57	40.385
138_CONO_5same	sp|P60274|CA1D_CONGE	4.35e-15	48.9	115	33.333
139_CONO_5same	sp|P60274|CA1D_CONGE	5.46e-10	36.2	82	38.298
140_CONO_5same	sp|P60274|CA1D_CONGE	9.68e-13	43.1	100	40.909
142_CONO_5same	sp|P60274|CA1D_CONGE	4.73e-09	33.5	75	32.203
143_CONO_5same	sp|P60274|CA1D_CONGE	1.17e-04	22.3	46	45.946
144_CONO_5same	sp|P60274|CA1D_CONGE	2.29e-10	37.0	84	36.364
145_CONO_5same	sp|P60274|CA1D_CONGE	5.67e-13	43.5	101	46.970
147_CONO_6same	sp|P60274|CA1D_CONGE	3.60e-11	38.9	89	48.485
148_CONO_6same	sp|P60274|CA1D_CONGE	1.25e-20	63.2	152	58.462
149_CONO_6same	sp|P60274|CA1D_CONGE	1.82e-12	42.4	98	39.130
150_CONO_6same	sp|P60274|CA1D_CONGE	2.36e-24	72.4	176	46.154
151_CONO_6same	sp|P60274|CA1D_CONGE	8.39e-09	33.1	74	35.000
152_CONO_6same	sp|P60274|CA1D_CONGE	5.70e-06	25.8	55	29.508
153_CONO_6same	sp|P60274|CA1D_CONGE	4.94e-08	31.2	69	58.333
154_CONO_6same	sp|P60274|CA1D_CONGE	1.9	11.2	17	29.310
155_CONO_6same	sp|P60274|CA1D_CONGE	7.55e-18	55.8	133	33.333
156_CONO_6same	sp|P60274|CA1D_CONGE	1.96e-11	39.7	91	36.364
157_CONO_6same	sp|P60274|CA1D_CONGE	2.03e-10	37.0	84	44.068
158_CONO_6same	sp|P60274|CA1D_CONGE	5.72e-15	48.5	114	47.458
159_CONO_6same	sp|P60274|CA1D_CONGE	1.28e-18	57.8	138	42.424
160_CONO_6same	sp|P60274|CA1D_CONGE	7.03e-15	48.5	114	37.879
162_CONO_6same	sp|P60274|CA1D_CONGE	4.80e-17	53.9	128	50.000
163_CONO_6same	sp|P60274|CA1D_CONGE	3.84e-06	26.2	56	51.429
164_CONO_6same	sp|P60274|CA1D_CONGE	7.01e-16	50.8	120	53.846
165_CONO_6same	sp|P60274|CA1D_CONGE	3.47e-14	46.6	109	47.619
166_CONO_6same	sp|P60274|CA1D_CONGE	3.38e-11	39.3	90	45.455
167_CONO_6same	sp|P60274|CA1D_CONGE	4.04e-07	28.9	63	51.282
168_CONO_6same	sp|P60274|CA1D_CONGE	3.02e-16	52.0	123	46.154
169_CONO_6same	sp|P60274|CA1D_CONGE	9.75e-19	58.2	139	52.308
170_CONO_6same	sp|P60274|CA1D_CONGE	1.23e-24	73.2	178	58.333
171_CONO_6same	sp|P60274|CA1D_CONGE	4.03e-08	31.2	69	45.652
172_CONO_6same	sp|P60274|CA1D_CONGE	4.09e-13	43.9	102	49.231
173_CONO_6same	sp|P60274|CA1D_CONGE	7.19e-20	61.2	147	44.615
175_CONO_7same	sp|P60274|CA1D_CONGE	8.85e-12	40.4	93	57.778
176_CONO_7same	sp|P60274|CA1D_CONGE	1.97e-19	60.1	144	65.517
177_CONO_7same	sp|P60274|CA1D_CONGE	4.68e-19	58.9	141	46.032
178_CONO_7same	sp|P60274|CA1D_CONGE	1.04e-12	43.1	100	41.935
179_CONO_7same	sp|P60274|CA1D_CONGE	2.89e-07	28.9	63	52.000
180_CONO_7same	sp|P60274|CA1D_CONGE	8.38e-15	48.1	113	45.455
181_CONO_7same	sp|P60274|CA1D_CONGE	1.12e-18	58.2	139	53.968
182_CONO_7same	sp|P60274|CA1D_CONGE	3.73e-21	64.3	155	50.000
184_CONO_7same	sp|P60274|CA1D_CONGE	1.79e-19	60.1	144	40.909
185_CONO_7same	sp|P60274|CA1D_CONGE	4.87e-13	43.9	102	44.444
186_CONO_7same	sp|P60274|CA1D_CONGE	4.83e-09	33.5	75	42.188
187_CONO_7same	sp|P60274|CA1D_CONGE	1.05e-20	63.2	152	55.357
188_CONO_7same	sp|P60274|CA1D_CONGE	1.71e-27	80.5	197	63.636
189_CONO_7same	sp|P60274|CA1D_CONGE	1.38e-22	68.2	165	44.615
190_CONO_7same	sp|P60274|CA1D_CONGE	2.34e-13	44.7	104	41.270
191_CONO_7same	sp|P60274|CA1D_CONGE	5.65e-20	61.2	147	46.970
192_CONO_7same	sp|P60274|CA1D_CONGE	2.39e-14	47.0	110	46.032
193_CONO_7same	sp|P60274|CA1D_CONGE	2.96e-20	62.0	149	54.545
194_CONO_7same	sp|P60274|CA1D_CONGE	7.56e-10	35.8	81	43.333
195_CONO_7same	sp|P60274|CA1D_CONGE	4.71e-14	46.2	108	45.161
196_CONO_7same	sp|P60274|CA1D_CONGE	3.36e-14	46.6	109	33.333
197_CONO_7same	sp|P60274|CA1D_CONGE	5.39e-11	38.5	88	52.941
198_CONO_7same	sp|P60274|CA1D_CONGE	7.56e-16	50.8	120	47.541
199_CONO_7same	sp|P60274|CA1D_CONGE	7.36e-17	53.5	127	58.730
200_CONO_7same	sp|P60274|CA1D_CONGE	4.91e-24	71.6	174	46.970
201_CONO_7same	sp|P60274|CA1D_CONGE	3.54e-12	41.6	96	49.231
202_CONO_7same	sp|P60274|CA1D_CONGE	1.64e-24	72.8	177	52.308
203_CONO_7same	sp|P60274|CA1D_CONGE	1.26e-27	80.9	198	68.333
204_CONO_8same	sp|P60274|CA1D_CONGE	2.10e-09	34.7	78	40.816
205_CONO_8same	sp|P60274|CA1D_CONGE	9.94e-16	50.4	119	64.583
206_CONO_8same	sp|P60274|CA1D_CONGE	1.12e-12	42.7	99	43.077
207_CONO_8same	sp|P60274|CA1D_CONGE	6.22e-10	35.8	81	34.921
208_CONO_8same	sp|P60274|CA1D_CONGE	3.70e-22	67.0	162	58.462
209_CONO_8same	sp|P60274|CA1D_CONGE	2.43e-16	52.4	124	46.032
210_CONO_8same	sp|P60274|CA1D_CONGE	1.30e-21	65.5	158	46.032
211_CONO_8same	sp|P60274|CA1D_CONGE	2.95e-16	52.0	123	49.180
212_CONO_8same	sp|P60274|CA1D_CONGE	1.17e-23	70.9	172	63.333
213_CONO_8same	sp|P60274|CA1D_CONGE	4.40e-15	48.9	115	42.857
214_CONO_8same	sp|P60274|CA1D_CONGE	5.61e-24	71.6	174	59.091
215_CONO_8same	sp|P60274|CA1D_CONGE	3.90e-17	54.3	129	56.364
216_CONO_8same	sp|P60274|CA1D_CONGE	3.94e-15	49.3	116	42.188
217_CONO_8same	sp|P60274|CA1D_CONGE	6.17e-20	61.2	147	45.455
218_CONO_8same	sp|P60274|CA1D_CONGE	8.50e-23	68.6	166	56.061
219_CONO_8same	sp|P60274|CA1D_CONGE	2.07e-11	39.7	91	38.333
220_CONO_8same	sp|P60274|CA1D_CONGE	2.60e-31	90.1	222	67.692
221_CONO_8same	sp|P60274|CA1D_CONGE	5.79e-22	66.2	160	53.030
222_CONO_8same	sp|P60274|CA1D_CONGE	1.15e-17	55.5	132	50.769
223_CONO_8same	sp|P60274|CA1D_CONGE	4.55e-24	71.6	174	60.000
224_CONO_8same	sp|P60274|CA1D_CONGE	1.36e-17	55.5	132	45.614
225_CONO_8same	sp|P60274|CA1D_CONGE	7.00e-30	86.3	212	68.182
226_CONO_8same	sp|P60274|CA1D_CONGE	3.84e-19	59.3	142	59.649
227_CONO_8same	sp|P60274|CA1D_CONGE	2.09e-17	55.1	131	52.381
228_CONO_8same	sp|P60274|CA1D_CONGE	6.34e-18	56.2	134	58.462
229_CONO_8same	sp|P60274|CA1D_CONGE	3.72e-11	38.9	89	44.444
230_CONO_8same	sp|P60274|CA1D_CONGE	1.56e-12	42.4	98	54.717
231_CONO_8same	sp|P60274|CA1D_CONGE	1.62e-10	37.4	85	56.604
232_CONO_8same	sp|P60274|CA1D_CONGE	1.45e-25	75.5	184	63.492
233_CONO_9same	sp|P60274|CA1D_CONGE	1.95e-20	62.4	150	57.576
234_CONO_9same	sp|P60274|CA1D_CONGE	2.42e-18	57.4	137	50.000
235_CONO_9same	sp|P60274|CA1D_CONGE	2.08e-13	44.7	104	45.161
236_CONO_9same	sp|P60274|CA1D_CONGE	5.95e-16	51.2	121	51.786
237_CONO_9same	sp|P60274|CA1D_CONGE	5.97e-27	79.0	193	57.576
238_CONO_9same	sp|P60274|CA1D_CONGE	1.14e-25	75.9	185	51.515
239_CONO_9same	sp|P60274|CA1D_CONGE	3.56e-19	59.3	142	53.030
240_CONO_9same	sp|P60274|CA1D_CONGE	2.42e-18	57.4	137	57.143
241_CONO_9same	sp|P60274|CA1D_CONGE	4.50e-21	64.3	155	58.730
242_CONO_9same	sp|P60274|CA1D_CONGE	3.84e-19	59.3	142	54.688
243_CONO_9same	sp|P60274|CA1D_CONGE	1.75e-24	72.8	177	61.538
244_CONO_9same	sp|P60274|CA1D_CONGE	1.49e-25	75.5	184	65.152
245_CONO_9same	sp|P60274|CA1D_CONGE	5.97e-20	61.2	147	55.357
246_CONO_9same	sp|P60274|CA1D_CONGE	4.56e-30	87.0	214	62.121
247_CONO_9same	sp|P60274|CA1D_CONGE	1.42e-13	45.1	105	52.727
248_CONO_9same	sp|P60274|CA1D_CONGE	1.44e-29	85.5	210	65.152
249_CONO_9same	sp|P60274|CA1D_CONGE	4.86e-22	66.6	161	61.905
250_CONO_9same	sp|P60274|CA1D_CONGE	6.35e-11	38.5	88	48.889
251_CONO_9same	sp|P60274|CA1D_CONGE	4.26e-25	74.3	181	62.121
252_CONO_9same	sp|P60274|CA1D_CONGE	4.08e-24	72.0	175	57.895
253_CONO_9same	sp|P60274|CA1D_CONGE	2.03e-28	82.8	203	62.121
254_CONO_9same	sp|P60274|CA1D_CONGE	8.22e-14	45.8	107	50.000
255_CONO_9same	sp|P60274|CA1D_CONGE	5.11e-19	58.9	141	59.091
256_CONO_9same	sp|P60274|CA1D_CONGE	1.27e-19	60.5	145	48.387
257_CONO_9same	sp|P60274|CA1D_CONGE	8.29e-20	60.8	146	66.038
258_CONO_9same	sp|P60274|CA1D_CONGE	2.60e-21	64.7	156	55.385
259_CONO_9same	sp|P60274|CA1D_CONGE	2.44e-17	54.7	130	49.123
260_CONO_9same	sp|P60274|CA1D_CONGE	5.24e-26	76.6	187	60.000
261_CONO_9same	sp|P60274|CA1D_CONGE	1.42e-24	73.2	178	65.152
262_CONO_10same	sp|P60274|CA1D_CONGE	2.56e-29	85.1	209	69.697
263_CONO_10same	sp|P60274|CA1D_CONGE	5.70e-19	58.9	141	61.538
264_CONO_10same	sp|P60274|CA1D_CONGE	1.83e-25	75.1	183	76.786
265_CONO_10same	sp|P60274|CA1D_CONGE	2.61e-12	42.0	97	56.250
266_CONO_10same	sp|P60274|CA1D_CONGE	5.19e-22	66.6	161	47.619
267_CONO_10same	sp|P60274|CA1D_CONGE	4.25e-27	79.3	194	54.545
268_CONO_10same	sp|P60274|CA1D_CONGE	9.99e-28	80.9	198	62.121
269_CONO_10same	sp|P60274|CA1D_CONGE	1.11e-27	80.9	198	51.515
270_CONO_10same	sp|P60274|CA1D_CONGE	3.38e-25	74.7	182	57.576
271_CONO_10same	sp|P60274|CA1D_CONGE	9.99e-28	80.9	198	69.697
272_CONO_10same	sp|P60274|CA1D_CONGE	7.68e-20	61.2	147	66.667
273_CONO_10same	sp|P60274|CA1D_CONGE	2.61e-30	87.4	215	69.231
274_CONO_10same	sp|P60274|CA1D_CONGE	4.91e-25	74.3	181	58.065
275_CONO_10same	sp|P60274|CA1D_CONGE	4.00e-14	46.6	109	44.262
276_CONO_10same	sp|P60274|CA1D_CONGE	5.42e-26	76.6	187	61.905
277_CONO_10same	sp|P60274|CA1D_CONGE	1.07e-24	73.2	178	55.385
278_CONO_10same	sp|P60274|CA1D_CONGE	3.39e-24	72.0	175	61.538
279_CONO_10same	sp|P60274|CA1D_CONGE	4.67e-29	84.3	207	71.212
280_CONO_10same	sp|P60274|CA1D_CONGE	2.11e-27	80.1	196	67.692
281_CONO_10same	sp|P60274|CA1D_CONGE	1.27e-29	85.9	211	57.576
282_CONO_10same	sp|P60274|CA1D_CONGE	1.20e-27	80.9	198	57.576
283_CONO_10same	sp|P60274|CA1D_CONGE	3.06e-26	77.4	189	72.727
284_CONO_10same	sp|P60274|CA1D_CONGE	5.30e-32	91.7	226	69.697
285_CONO_10same	sp|P60274|CA1D_CONGE	1.18e-30	88.2	217	49.231
286_CONO_10same	sp|P60274|CA1D_CONGE	9.05e-20	60.8	146	56.452
287_CONO_10same	sp|P60274|CA1D_CONGE	5.50e-34	96.7	239	74.603
288_CONO_10same	sp|P60274|CA1D_CONGE	2.57e-20	62.4	150	48.387
289_CONO_10same	sp|P60274|CA1D_CONGE	1.66e-21	65.1	157	53.968
290_CONO_10same	sp|P60274|CA1D_CONGE	5.77e-28	81.6	200	72.727
291_CONO_11same	sp|P60274|CA1D_CONGE	5.22e-33	94.4	233	78.788
292_CONO_11same	sp|P60274|CA1D_CONGE	4.67e-34	97.1	240	78.788
293_CONO_11same	sp|P60274|CA1D_CONGE	9.73e-30	85.9	211	66.667
294_CONO_11same	sp|P60274|CA1D_CONGE	2.82e-34	97.4	241	80.000
295_CONO_11same	sp|P60274|CA1D_CONGE	2.37e-37	105	261	71.212
296_CONO_11same	sp|P60274|CA1D_CONGE	2.07e-34	97.8	242	74.242
297_CONO_11same	sp|P60274|CA1D_CONGE	1.70e-29	85.5	210	72.727
298_CONO_11same	sp|P60274|CA1D_CONGE	6.03e-28	81.6	200	66.667
299_CONO_11same	sp|P60274|CA1D_CONGE	9.39e-35	98.6	244	69.697
300_CONO_11same	sp|P60274|CA1D_CONGE	1.44e-37	105	263	78.788
301_CONO_11same	sp|P60274|CA1D_CONGE	4.65e-25	74.3	181	56.061
302_CONO_11same	sp|P60274|CA1D_CONGE	2.87e-22	67.0	162	54.545
303_CONO_11same	sp|P60274|CA1D_CONGE	6.26e-31	89.0	219	69.841
304_CONO_11same	sp|P60274|CA1D_CONGE	1.26e-25	75.5	184	62.903
305_CONO_11same	sp|P60274|CA1D_CONGE	2.78e-31	90.1	222	77.273
306_CONO_11same	sp|P60274|CA1D_CONGE	1.60e-27	80.5	197	66.667
307_CONO_11same	sp|P60274|CA1D_CONGE	5.33e-37	104	259	71.212
308_CONO_11same	sp|P60274|CA1D_CONGE	2.67e-34	97.4	241	68.182
309_CONO_11same	sp|P60274|CA1D_CONGE	2.04e-27	80.1	196	68.182
310_CONO_11same	sp|P60274|CA1D_CONGE	6.36e-33	94.0	232	74.242
311_CONO_11same	sp|P60274|CA1D_CONGE	2.25e-32	92.8	229	71.212
312_CONO_11same	sp|P60274|CA1D_CONGE	1.30e-23	70.5	171	61.538
313_CONO_11same	sp|P60274|CA1D_CONGE	4.12e-25	74.3	181	68.182
314_CONO_11same	sp|P60274|CA1D_CONGE	1.37e-28	83.2	204	68.182
315_CONO_11same	sp|P60274|CA1D_CONGE	6.76e-23	68.9	167	63.492
316_CONO_11same	sp|P60274|CA1D_CONGE	1.04e-34	98.6	244	78.788
317_CONO_11same	sp|P60274|CA1D_CONGE	2.79e-29	84.7	208	68.254
318_CONO_11same	sp|P60274|CA1D_CONGE	2.90e-31	89.7	221	70.769
319_CONO_11same	sp|P60274|CA1D_CONGE	1.38e-37	105	263	69.697
320_CONO_12same	sp|P60274|CA1D_CONGE	1.54e-33	95.5	236	77.273
321_CONO_12same	sp|P60274|CA1D_CONGE	5.21e-34	96.7	239	72.727
322_CONO_12same	sp|P60274|CA1D_CONGE	2.50e-29	85.1	209	74.242
323_CONO_12same	sp|P60274|CA1D_CONGE	2.77e-36	102	254	80.303
324_CONO_12same	sp|P60274|CA1D_CONGE	1.71e-28	82.8	203	65.152
325_CONO_12same	sp|P60274|CA1D_CONGE	1.94e-30	87.8	216	71.930
326_CONO_12same	sp|P60274|CA1D_CONGE	1.84e-39	110	275	83.333
327_CONO_12same	sp|P60274|CA1D_CONGE	1.15e-35	100	250	75.758
328_CONO_12same	sp|P60274|CA1D_CONGE	1.34e-37	105	263	77.273
329_CONO_12same	sp|P60274|CA1D_CONGE	7.40e-34	96.3	238	81.818
330_CONO_12same	sp|P60274|CA1D_CONGE	6.60e-32	91.7	226	74.242
331_CONO_12same	sp|P60274|CA1D_CONGE	5.64e-28	81.6	200	66.667
332_CONO_12same	sp|P60274|CA1D_CONGE	3.66e-30	87.0	214	77.273
333_CONO_12same	sp|P60274|CA1D_CONGE	2.81e-38	107	267	75.385
334_CONO_12same	sp|P60274|CA1D_CONGE	4.01e-37	104	260	72.727
335_CONO_12same	sp|P60274|CA1D_CONGE	6.09e-28	81.6	200	68.182
336_CONO_12same	sp|P60274|CA1D_CONGE	4.02e-36	102	253	84.848
337_CONO_12same	sp|P60274|CA1D_CONGE	6.02e-40	111	278	83.333
338_CONO_12same	sp|P60274|CA1D_CONGE	1.36e-35	100	250	77.778
339_CONO_12same	sp|P60274|CA1D_CONGE	1.75e-32	92.8	229	72.727
340_CONO_12same	sp|P60274|CA1D_CONGE	4.62e-34	97.1	240	72.308
341_CONO_12same	sp|P60274|CA1D_CONGE	9.47e-36	101	251	75.758
342_CONO_12same	sp|P60274|CA1D_CONGE	3.32e-37	104	260	80.303
343_CONO_12same	sp|P60274|CA1D_CONGE	2.46e-35	100	248	80.303
344_CONO_12same	sp|P60274|CA1D_CONGE	1.41e-33	95.9	237	69.841
345_CONO_12same	sp|P60274|CA1D_CONGE	2.12e-30	87.8	216	75.806
346_CONO_12same	sp|P60274|CA1D_CONGE	1.54e-29	85.5	210	73.016
347_CONO_12same	sp|P60274|CA1D_CONGE	9.85e-34	96.3	238	63.077
348_CONO_12same	sp|P60274|CA1D_CONGE	1.03e-32	93.6	231	78.788
349_CONO_13same	sp|P60274|CA1D_CONGE	5.89e-37	104	259	78.788
350_CONO_13same	sp|P60274|CA1D_CONGE	1.66e-38	108	269	81.818
351_CONO_13same	sp|P60274|CA1D_CONGE	6.84e-38	106	265	78.788
352_CONO_13same	sp|P60274|CA1D_CONGE	2.13e-35	100	249	77.273
353_CONO_13same	sp|P60274|CA1D_CONGE	7.28e-32	91.3	225	71.212
354_CONO_13same	sp|P60274|CA1D_CONGE	8.33e-35	99.0	245	62.121
355_CONO_13same	sp|P60274|CA1D_CONGE	8.58e-32	91.3	225	73.016
356_CONO_13same	sp|P60274|CA1D_CONGE	5.12e-36	102	253	76.190
357_CONO_13same	sp|P60274|CA1D_CONGE	4.17e-35	99.8	247	78.788
358_CONO_13same	sp|P60274|CA1D_CONGE	3.00e-41	115	287	90.625
359_CONO_13same	sp|P60274|CA1D_CONGE	1.77e-35	100	249	80.303
360_CONO_13same	sp|P60274|CA1D_CONGE	1.04e-27	80.9	198	67.213
361_CONO_13same	sp|P60274|CA1D_CONGE	9.72e-41	114	284	87.879
362_CONO_13same	sp|P60274|CA1D_CONGE	2.04e-38	107	268	86.364
363_CONO_13same	sp|P60274|CA1D_CONGE	4.33e-37	104	260	81.818
364_CONO_13same	sp|P60274|CA1D_CONGE	2.11e-35	100	249	75.758
365_CONO_13same	sp|P60274|CA1D_CONGE	6.79e-37	103	258	86.364
366_CONO_13same	sp|P60274|CA1D_CONGE	3.68e-28	82.0	201	66.667
367_CONO_13same	sp|P60274|CA1D_CONGE	7.22e-35	99.0	245	80.303
368_CONO_13same	sp|P60274|CA1D_CONGE	2.10e-37	105	262	80.303
369_CONO_13same	sp|P60274|CA1D_CONGE	1.61e-33	95.5	236	74.603
370_CONO_13same	sp|P60274|CA1D_CONGE	3.22e-40	112	280	89.062
371_CONO_13same	sp|P60274|CA1D_CONGE	5.10e-40	112	279	86.364
372_CONO_13same	sp|P60274|CA1D_CONGE	8.48e-36	101	251	83.333
373_CONO_13same	sp|P60274|CA1D_CONGE	4.88e-34	97.1	240	73.016
374_CONO_13same	sp|P60274|CA1D_CONGE	1.99e-33	95.5	236	74.603
375_CONO_13same	sp|P60274|CA1D_CONGE	2.56e-36	102	255	78.788
376_CONO_13same	sp|P60274|CA1D_CONGE	2.13e-36	102	255	75.758
377_CONO_13same	sp|P60274|CA1D_CONGE	6.89e-39	108	271	77.273
378_CONO_14same	sp|P60274|CA1D_CONGE	2.42e-37	105	261	81.818
379_CONO_14same	sp|P60274|CA1D_CONGE	5.80e-44	122	305	92.424
380_CONO_14same	sp|P60274|CA1D_CONGE	3.81e-42	117	293	87.879
381_CONO_14same	sp|P60274|CA1D_CONGE	1.07e-43	121	303	89.394
382_CONO_14same	sp|P60274|CA1D_CONGE	2.01e-40	112	281	84.848
383_CONO_14same	sp|P60274|CA1D_CONGE	1.52e-38	108	269	83.333
384_CONO_14same	sp|P60274|CA1D_CONGE	1.22e-39	110	276	86.364
385_CONO_14same	sp|P60274|CA1D_CONGE	2.04e-35	100	249	76.190
386_CONO_14same	sp|P60274|CA1D_CONGE	1.62e-36	103	256	81.818
387_CONO_14same	sp|P60274|CA1D_CONGE	3.36e-46	127	319	93.939
388_CONO_14same	sp|P60274|CA1D_CONGE	4.52e-43	119	299	84.848
389_CONO_14same	sp|P60274|CA1D_CONGE	7.39e-38	106	265	83.333
390_CONO_14same	sp|P60274|CA1D_CONGE	8.30e-36	101	251	78.788
391_CONO_14same	sp|P60274|CA1D_CONGE	1.57e-35	100	249	78.788
392_CONO_14same	sp|P60274|CA1D_CONGE	2.05e-37	105	262	82.540
393_CONO_14same	sp|P60274|CA1D_CONGE	3.63e-40	112	280	83.333
394_CONO_14same	sp|P60274|CA1D_CONGE	4.76e-41	114	286	86.364
395_CONO_14same	sp|P60274|CA1D_CONGE	1.59e-43	120	302	90.909
396_CONO_14same	sp|P60274|CA1D_CONGE	1.16e-36	103	257	87.302
397_CONO_14same	sp|P60274|CA1D_CONGE	9.19e-44	121	303	87.879
398_CONO_14same	sp|P60274|CA1D_CONGE	8.92e-46	126	317	92.424
399_CONO_14same	sp|P60274|CA1D_CONGE	4.02e-39	109	273	80.303
400_CONO_14same	sp|P60274|CA1D_CONGE	3.79e-37	104	260	78.788
