qseqid	sseqid	evalue	bitscore	score	pident
97_CONO_4same	sp|P60274|CA1D_CONGE	5.39e-06	25.8	55	48.780
102_CONO_4same	sp|P60274|CA1D_CONGE	0.36	13.1	22	75.000
106_CONO_4same	sp|P60274|CA1D_CONGE	0.006	18.1	35	46.667
107_CONO_4same	sp|P60274|CA1D_CONGE	0.093	14.6	26	45.455
108_CONO_4same	sp|P60274|CA1D_CONGE	9.78e-10	35.4	80	43.939
111_CONO_4same	sp|P60274|CA1D_CONGE	0.19	13.9	24	55.556
111_CONO_4same	sp|P60274|CA1D_CONGE	0.49	12.7	21	45.455
111_CONO_4same	sp|P60274|CA1D_CONGE	7.3	 9.6	13	33.333
114_CONO_4same	sp|P60274|CA1D_CONGE	0.032	15.8	29	25.000
118_CONO_5same	sp|P60274|CA1D_CONGE	0.023	16.2	30	66.667
120_CONO_5same	sp|P60274|CA1D_CONGE	0.001	19.6	39	47.059
120_CONO_5same	sp|P60274|CA1D_CONGE	5.2	10.0	14	100.000
121_CONO_5same	sp|P60274|CA1D_CONGE	0.32	13.1	22	40.000
121_CONO_5same	sp|P60274|CA1D_CONGE	0.53	12.7	21	29.167
121_CONO_5same	sp|P60274|CA1D_CONGE	3.9	10.4	15	26.667
123_CONO_5same	sp|P60274|CA1D_CONGE	0.23	13.5	23	50.000
123_CONO_5same	sp|P60274|CA1D_CONGE	6.8	 9.6	13	66.667
123_CONO_5same	sp|P60274|CA1D_CONGE	9.9	 9.2	12	100.000
126_CONO_5same	sp|P60274|CA1D_CONGE	1.02e-07	30.4	67	54.167
127_CONO_5same	sp|P60274|CA1D_CONGE	3.27e-10	36.6	83	54.348
127_CONO_5same	sp|P60274|CA1D_CONGE	3.5	10.4	15	25.000
130_CONO_5same	sp|P60274|CA1D_CONGE	0.002	19.2	38	50.000
131_CONO_5same	sp|P60274|CA1D_CONGE	4.04e-04	21.2	43	37.500
131_CONO_5same	sp|P60274|CA1D_CONGE	0.13	14.2	25	50.000
133_CONO_5same	sp|P60274|CA1D_CONGE	9.54e-13	43.1	100	45.833
135_CONO_5same	sp|P60274|CA1D_CONGE	8.48e-11	38.1	87	38.298
136_CONO_5same	sp|P60274|CA1D_CONGE	8.53e-12	40.8	94	30.303
139_CONO_5same	sp|P60274|CA1D_CONGE	2.41e-07	29.3	64	53.846
140_CONO_5same	sp|P60274|CA1D_CONGE	5.09e-08	31.2	69	31.250
141_CONO_5same	sp|P60274|CA1D_CONGE	1.93e-06	26.9	58	36.585
142_CONO_5same	sp|P60274|CA1D_CONGE	0.35	13.1	22	40.000
145_CONO_5same	sp|P60274|CA1D_CONGE	2.22e-04	21.6	44	36.000
148_CONO_6same	sp|P60274|CA1D_CONGE	3.34e-12	42.0	97	54.545
149_CONO_6same	sp|P60274|CA1D_CONGE	3.88e-09	33.9	76	44.444
151_CONO_6same	sp|P60274|CA1D_CONGE	2.53e-05	24.3	51	36.957
152_CONO_6same	sp|P60274|CA1D_CONGE	3.67e-06	26.2	56	51.220
154_CONO_6same	sp|P60274|CA1D_CONGE	1.07e-05	25.0	53	51.613
155_CONO_6same	sp|P60274|CA1D_CONGE	3.19e-15	49.3	116	45.652
156_CONO_6same	sp|P60274|CA1D_CONGE	0.002	19.2	38	34.783
157_CONO_6same	sp|P60274|CA1D_CONGE	3.93e-15	49.3	116	50.000
162_CONO_6same	sp|P60274|CA1D_CONGE	1.59e-04	21.9	45	42.857
163_CONO_6same	sp|P60274|CA1D_CONGE	2.09e-07	29.6	65	46.512
165_CONO_6same	sp|P60274|CA1D_CONGE	6.51e-13	43.5	101	46.032
165_CONO_6same	sp|P60274|CA1D_CONGE	0.85	12.3	20	50.000
165_CONO_6same	sp|P60274|CA1D_CONGE	7.7	 9.6	13	60.000
167_CONO_6same	sp|P60274|CA1D_CONGE	8.01e-13	43.5	101	52.941
168_CONO_6same	sp|P60274|CA1D_CONGE	1.54e-16	52.8	125	51.923
169_CONO_6same	sp|P60274|CA1D_CONGE	1.18e-07	30.0	66	66.667
169_CONO_6same	sp|P60274|CA1D_CONGE	2.4	10.8	16	44.444
170_CONO_6same	sp|P60274|CA1D_CONGE	0.007	17.7	34	28.571
170_CONO_6same	sp|P60274|CA1D_CONGE	1.5	11.5	18	26.087
171_CONO_6same	sp|P60274|CA1D_CONGE	3.89e-17	54.3	129	59.574
174_CONO_6same	sp|P60274|CA1D_CONGE	5.03e-05	23.5	49	54.167
175_CONO_7same	sp|P60274|CA1D_CONGE	6.13e-07	28.5	62	58.333
177_CONO_7same	sp|P60274|CA1D_CONGE	1.30e-07	30.0	66	65.217
178_CONO_7same	sp|P60274|CA1D_CONGE	0.12	14.2	25	45.455
179_CONO_7same	sp|P60274|CA1D_CONGE	1.78e-10	37.4	85	41.270
180_CONO_7same	sp|P60274|CA1D_CONGE	2.36e-10	37.0	84	40.984
182_CONO_7same	sp|P60274|CA1D_CONGE	1.51e-04	21.9	45	36.842
183_CONO_7same	sp|P60274|CA1D_CONGE	1.01e-09	35.4	80	57.447
184_CONO_7same	sp|P60274|CA1D_CONGE	2.18e-07	29.6	65	37.037
185_CONO_7same	sp|P60274|CA1D_CONGE	0.001	19.6	39	47.826
185_CONO_7same	sp|P60274|CA1D_CONGE	3.2	10.4	15	50.000
186_CONO_7same	sp|P60274|CA1D_CONGE	1.02e-14	48.1	113	50.794
187_CONO_7same	sp|P60274|CA1D_CONGE	1.32e-14	47.8	112	46.032
187_CONO_7same	sp|P60274|CA1D_CONGE	0.19	13.9	24	57.143
188_CONO_7same	sp|P60274|CA1D_CONGE	5.12e-14	46.6	109	56.098
189_CONO_7same	sp|P60274|CA1D_CONGE	2.87e-10	37.0	84	57.895
190_CONO_7same	sp|P60274|CA1D_CONGE	1.23e-05	25.0	53	39.286
194_CONO_7same	sp|P60274|CA1D_CONGE	3.92e-09	33.9	76	34.848
195_CONO_7same	sp|P60274|CA1D_CONGE	0.001	19.6	39	43.750
196_CONO_7same	sp|P60274|CA1D_CONGE	6.78e-15	48.5	114	45.455
198_CONO_7same	sp|P60274|CA1D_CONGE	3.02e-05	23.9	50	46.875
199_CONO_7same	sp|P60274|CA1D_CONGE	7.44e-18	56.2	134	60.000
200_CONO_7same	sp|P60274|CA1D_CONGE	4.63e-15	48.9	115	50.000
202_CONO_7same	sp|P60274|CA1D_CONGE	0.002	19.2	38	31.818
203_CONO_7same	sp|P60274|CA1D_CONGE	5.35e-14	46.2	108	59.524
204_CONO_8same	sp|P60274|CA1D_CONGE	2.71e-30	87.4	215	69.697
206_CONO_8same	sp|P60274|CA1D_CONGE	5.44e-10	36.2	82	51.282
207_CONO_8same	sp|P60274|CA1D_CONGE	2.49e-13	44.7	104	53.846
208_CONO_8same	sp|P60274|CA1D_CONGE	3.00e-14	47.0	110	60.417
209_CONO_8same	sp|P60274|CA1D_CONGE	2.80e-07	29.3	64	65.217
209_CONO_8same	sp|P60274|CA1D_CONGE	4.3	10.4	15	66.667
210_CONO_8same	sp|P60274|CA1D_CONGE	8.19e-09	33.1	74	59.574
212_CONO_8same	sp|P60274|CA1D_CONGE	1.98e-28	82.8	203	68.182
213_CONO_8same	sp|P60274|CA1D_CONGE	5.22e-15	48.9	115	55.769
214_CONO_8same	sp|P60274|CA1D_CONGE	9.24e-23	68.6	166	66.667
215_CONO_8same	sp|P60274|CA1D_CONGE	1.65e-19	60.5	145	58.333
216_CONO_8same	sp|P60274|CA1D_CONGE	0.031	15.8	29	60.000
217_CONO_8same	sp|P60274|CA1D_CONGE	3.44e-09	34.3	77	50.000
217_CONO_8same	sp|P60274|CA1D_CONGE	8.1	 9.6	13	50.000
218_CONO_8same	sp|P60274|CA1D_CONGE	3.41e-08	31.6	70	56.667
219_CONO_8same	sp|P60274|CA1D_CONGE	9.0	 9.2	12	75.000
220_CONO_8same	sp|P60274|CA1D_CONGE	3.36e-07	28.9	63	56.000
221_CONO_8same	sp|P60274|CA1D_CONGE	6.95e-24	71.2	173	61.905
221_CONO_8same	sp|P60274|CA1D_CONGE	9.9	 9.2	12	100.000
222_CONO_8same	sp|P60274|CA1D_CONGE	1.89e-14	47.4	111	68.571
224_CONO_8same	sp|P60274|CA1D_CONGE	5.09e-08	31.2	69	40.909
225_CONO_8same	sp|P60274|CA1D_CONGE	1.77e-15	50.1	118	65.854
226_CONO_8same	sp|P60274|CA1D_CONGE	6.34e-10	35.8	81	64.706
227_CONO_8same	sp|P60274|CA1D_CONGE	2.02e-12	42.4	98	54.762
228_CONO_8same	sp|P60274|CA1D_CONGE	5.28e-06	25.8	55	63.415
228_CONO_8same	sp|P60274|CA1D_CONGE	0.062	15.0	27	83.333
229_CONO_8same	sp|P60274|CA1D_CONGE	1.78e-09	35.0	79	44.737
231_CONO_8same	sp|P60274|CA1D_CONGE	4.00e-19	59.3	142	57.143
231_CONO_8same	sp|P60274|CA1D_CONGE	2.5	10.8	16	45.455
232_CONO_8same	sp|P60274|CA1D_CONGE	5.49e-09	33.5	75	48.387
233_CONO_9same	sp|P60274|CA1D_CONGE	3.07e-18	57.0	136	56.250
234_CONO_9same	sp|P60274|CA1D_CONGE	1.11e-21	65.9	159	72.000
235_CONO_9same	sp|P60274|CA1D_CONGE	3.13e-10	37.0	84	67.857
236_CONO_9same	sp|P60274|CA1D_CONGE	1.19e-29	85.9	211	66.154
237_CONO_9same	sp|P60274|CA1D_CONGE	5.57e-07	28.5	62	70.213
238_CONO_9same	sp|P60274|CA1D_CONGE	3.03e-18	57.0	136	77.273
239_CONO_9same	sp|P60274|CA1D_CONGE	1.57e-08	32.3	72	50.000
240_CONO_9same	sp|P60274|CA1D_CONGE	8.22e-16	50.8	120	57.576
241_CONO_9same	sp|P60274|CA1D_CONGE	9.19e-06	25.4	54	68.421
242_CONO_9same	sp|P60274|CA1D_CONGE	2.33e-10	37.0	84	62.069
243_CONO_9same	sp|P60274|CA1D_CONGE	4.64e-12	41.6	96	58.333
244_CONO_9same	sp|P60274|CA1D_CONGE	4.35e-18	56.6	135	78.462
244_CONO_9same	sp|P60274|CA1D_CONGE	2.8	10.8	16	100.000
245_CONO_9same	sp|P60274|CA1D_CONGE	5.39e-20	61.6	148	62.963
245_CONO_9same	sp|P60274|CA1D_CONGE	3.1	10.8	16	33.333
245_CONO_9same	sp|P60274|CA1D_CONGE	4.7	10.0	14	33.333
246_CONO_9same	sp|P60274|CA1D_CONGE	4.35e-07	28.9	63	62.500
246_CONO_9same	sp|P60274|CA1D_CONGE	7.4	 9.6	13	66.667
249_CONO_9same	sp|P60274|CA1D_CONGE	2.45e-17	54.7	130	59.615
250_CONO_9same	sp|P60274|CA1D_CONGE	1.05e-15	50.8	120	60.606
251_CONO_9same	sp|P60274|CA1D_CONGE	4.85e-14	46.6	109	54.000
251_CONO_9same	sp|P60274|CA1D_CONGE	7.0	 9.6	13	100.000
252_CONO_9same	sp|P60274|CA1D_CONGE	2.43e-07	29.3	64	62.500
253_CONO_9same	sp|P60274|CA1D_CONGE	2.36e-19	60.1	144	61.111
254_CONO_9same	sp|P60274|CA1D_CONGE	1.03e-15	50.8	120	59.524
255_CONO_9same	sp|P60274|CA1D_CONGE	6.71e-15	48.5	114	72.549
255_CONO_9same	sp|P60274|CA1D_CONGE	1.9	11.2	17	28.000
256_CONO_9same	sp|P60274|CA1D_CONGE	1.49e-18	57.8	138	50.000
257_CONO_9same	sp|P60274|CA1D_CONGE	1.02e-17	55.8	133	62.745
258_CONO_9same	sp|P60274|CA1D_CONGE	3.48e-09	34.3	77	55.556
259_CONO_9same	sp|P60274|CA1D_CONGE	1.82e-25	75.5	184	62.121
260_CONO_9same	sp|P60274|CA1D_CONGE	8.73e-17	53.5	127	62.500
260_CONO_9same	sp|P60274|CA1D_CONGE	7.2	 9.6	13	75.000
261_CONO_9same	sp|P60274|CA1D_CONGE	3.74e-16	52.0	123	63.415
261_CONO_9same	sp|P60274|CA1D_CONGE	0.13	14.2	25	80.000
262_CONO_10same	sp|P60274|CA1D_CONGE	4.99e-10	36.2	82	52.500
263_CONO_10same	sp|P60274|CA1D_CONGE	2.33e-10	37.0	84	60.317
264_CONO_10same	sp|P60274|CA1D_CONGE	1.37e-26	78.2	191	63.492
265_CONO_10same	sp|P60274|CA1D_CONGE	4.44e-13	43.9	102	55.556
266_CONO_10same	sp|P60274|CA1D_CONGE	5.2	10.0	14	75.000
267_CONO_10same	sp|P60274|CA1D_CONGE	7.43e-08	30.8	68	61.538
267_CONO_10same	sp|P60274|CA1D_CONGE	0.37	13.1	22	45.455
268_CONO_10same	sp|P60274|CA1D_CONGE	3.60e-21	64.7	156	68.627
268_CONO_10same	sp|P60274|CA1D_CONGE	3.2	10.4	15	33.333
269_CONO_10same	sp|P60274|CA1D_CONGE	7.82e-12	40.8	94	76.923
270_CONO_10same	sp|P60274|CA1D_CONGE	5.15e-08	31.2	69	68.889
270_CONO_10same	sp|P60274|CA1D_CONGE	9.8	 9.2	12	75.000
271_CONO_10same	sp|P60274|CA1D_CONGE	3.76e-17	54.3	129	86.207
273_CONO_10same	sp|P60274|CA1D_CONGE	2.65e-07	29.3	64	58.333
274_CONO_10same	sp|P60274|CA1D_CONGE	5.55e-08	31.2	69	69.565
275_CONO_10same	sp|P60274|CA1D_CONGE	9.86e-13	43.1	100	51.351
276_CONO_10same	sp|P60274|CA1D_CONGE	1.51e-26	78.2	191	63.636
277_CONO_10same	sp|P60274|CA1D_CONGE	2.37e-22	67.4	163	72.917
277_CONO_10same	sp|P60274|CA1D_CONGE	3.4	10.4	15	38.889
278_CONO_10same	sp|P60274|CA1D_CONGE	8.91e-15	48.5	114	53.191
279_CONO_10same	sp|P60274|CA1D_CONGE	1.42e-06	27.3	59	47.619
280_CONO_10same	sp|P60274|CA1D_CONGE	2.93e-09	34.3	77	54.902
281_CONO_10same	sp|P60274|CA1D_CONGE	2.90e-29	85.1	209	69.697
282_CONO_10same	sp|P60274|CA1D_CONGE	5.65e-05	23.1	48	57.895
283_CONO_10same	sp|P60274|CA1D_CONGE	7.43e-06	25.4	54	53.333
284_CONO_10same	sp|P60274|CA1D_CONGE	9.9	 9.2	12	100.000
285_CONO_10same	sp|P60274|CA1D_CONGE	3.76e-22	67.0	162	64.706
286_CONO_10same	sp|P60274|CA1D_CONGE	2.27e-05	24.3	51	100.000
287_CONO_10same	sp|P60274|CA1D_CONGE	5.74e-11	38.5	88	66.667
288_CONO_10same	sp|P60274|CA1D_CONGE	1.90e-25	75.5	184	74.242
289_CONO_10same	sp|P60274|CA1D_CONGE	5.38e-28	81.6	200	66.667
290_CONO_10same	sp|P60274|CA1D_CONGE	0.002	19.2	38	53.846
291_CONO_11same	sp|P60274|CA1D_CONGE	2.42e-16	52.4	124	80.645
292_CONO_11same	sp|P60274|CA1D_CONGE	1.62e-21	65.5	158	72.093
293_CONO_11same	sp|P60274|CA1D_CONGE	1.18e-23	70.9	172	62.745
294_CONO_11same	sp|P60274|CA1D_CONGE	4.13e-19	59.3	142	62.222
294_CONO_11same	sp|P60274|CA1D_CONGE	2.5	10.8	16	50.000
295_CONO_11same	sp|P60274|CA1D_CONGE	1.39e-23	70.5	171	76.471
296_CONO_11same	sp|P60274|CA1D_CONGE	2.99e-15	49.7	117	52.727
297_CONO_11same	sp|P60274|CA1D_CONGE	1.40e-19	60.5	145	57.407
298_CONO_11same	sp|P60274|CA1D_CONGE	7.65e-15	48.5	114	75.758
299_CONO_11same	sp|P60274|CA1D_CONGE	2.68e-24	72.4	176	68.182
300_CONO_11same	sp|P60274|CA1D_CONGE	3.13e-18	57.0	136	65.957
301_CONO_11same	sp|P60274|CA1D_CONGE	2.90e-10	37.0	84	66.667
302_CONO_11same	sp|P60274|CA1D_CONGE	2.04e-30	87.8	216	76.190
303_CONO_11same	sp|P60274|CA1D_CONGE	1.10e-28	83.6	205	76.562
303_CONO_11same	sp|P60274|CA1D_CONGE	6.9	 9.6	13	75.000
304_CONO_11same	sp|P60274|CA1D_CONGE	2.12e-10	37.4	85	68.966
305_CONO_11same	sp|P60274|CA1D_CONGE	1.02e-16	53.1	126	79.167
306_CONO_11same	sp|P60274|CA1D_CONGE	1.09e-20	63.2	152	74.468
307_CONO_11same	sp|P60274|CA1D_CONGE	2.71e-15	49.7	117	74.286
308_CONO_11same	sp|P60274|CA1D_CONGE	3.27e-13	44.3	103	60.317
309_CONO_11same	sp|P60274|CA1D_CONGE	3.23e-24	72.4	176	72.917
310_CONO_11same	sp|P60274|CA1D_CONGE	1.20e-22	68.2	165	72.917
310_CONO_11same	sp|P60274|CA1D_CONGE	4.5	10.0	14	57.143
311_CONO_11same	sp|P60274|CA1D_CONGE	3.05e-20	62.0	149	59.091
312_CONO_11same	sp|P60274|CA1D_CONGE	5.22e-17	53.9	128	77.273
313_CONO_11same	sp|P60274|CA1D_CONGE	1.72e-18	57.8	138	77.273
314_CONO_11same	sp|P60274|CA1D_CONGE	6.86e-20	61.2	147	63.492
315_CONO_11same	sp|P60274|CA1D_CONGE	6.35e-20	61.2	147	59.091
316_CONO_11same	sp|P60274|CA1D_CONGE	1.82e-31	90.5	223	72.308
316_CONO_11same	sp|P60274|CA1D_CONGE	0.23	13.5	23	38.235
317_CONO_11same	sp|P60274|CA1D_CONGE	1.92e-05	24.6	52	64.286
318_CONO_11same	sp|P60274|CA1D_CONGE	1.22e-27	80.9	198	77.083
319_CONO_11same	sp|P60274|CA1D_CONGE	8.81e-28	81.3	199	74.242
320_CONO_12same	sp|P60274|CA1D_CONGE	4.89e-21	64.3	155	64.151
321_CONO_12same	sp|P60274|CA1D_CONGE	1.67e-38	108	269	86.364
321_CONO_12same	sp|P60274|CA1D_CONGE	0.80	12.3	20	34.783
322_CONO_12same	sp|P60274|CA1D_CONGE	3.26e-23	69.7	169	82.979
323_CONO_12same	sp|P60274|CA1D_CONGE	8.09e-17	53.5	127	82.143
324_CONO_12same	sp|P60274|CA1D_CONGE	5.83e-24	71.6	174	82.609
325_CONO_12same	sp|P60274|CA1D_CONGE	2.96e-30	87.4	215	74.242
326_CONO_12same	sp|P60274|CA1D_CONGE	3.44e-17	54.3	129	75.758
327_CONO_12same	sp|P60274|CA1D_CONGE	3.43e-33	94.7	234	66.667
328_CONO_12same	sp|P60274|CA1D_CONGE	4.14e-26	77.0	188	83.333
329_CONO_12same	sp|P60274|CA1D_CONGE	4.52e-20	61.6	148	72.340
330_CONO_12same	sp|P60274|CA1D_CONGE	1.94e-28	82.8	203	68.254
331_CONO_12same	sp|P60274|CA1D_CONGE	2.83e-15	49.7	117	64.583
332_CONO_12same	sp|P60274|CA1D_CONGE	6.09e-12	41.2	95	59.375
332_CONO_12same	sp|P60274|CA1D_CONGE	0.68	12.3	20	28.205
333_CONO_12same	sp|P60274|CA1D_CONGE	5.87e-10	36.2	82	66.667
333_CONO_12same	sp|P60274|CA1D_CONGE	2.9	10.8	16	50.000
334_CONO_12same	sp|P60274|CA1D_CONGE	7.24e-04	20.4	41	81.818
335_CONO_12same	sp|P60274|CA1D_CONGE	6.02e-26	76.6	187	80.435
336_CONO_12same	sp|P60274|CA1D_CONGE	2.44e-39	110	275	83.333
336_CONO_12same	sp|P60274|CA1D_CONGE	4.1	10.4	15	43.750
337_CONO_12same	sp|P60274|CA1D_CONGE	6.30e-13	43.5	101	72.549
338_CONO_12same	sp|P60274|CA1D_CONGE	1.65e-23	70.5	171	73.016
339_CONO_12same	sp|P60274|CA1D_CONGE	6.08e-15	48.9	115	89.362
340_CONO_12same	sp|P60274|CA1D_CONGE	1.25e-28	83.2	204	72.727
341_CONO_12same	sp|P60274|CA1D_CONGE	1.55e-29	85.5	210	83.333
342_CONO_12same	sp|P60274|CA1D_CONGE	1.47e-17	55.5	132	81.818
342_CONO_12same	sp|P60274|CA1D_CONGE	1.9	11.2	17	36.364
343_CONO_12same	sp|P60274|CA1D_CONGE	1.84e-32	93.2	230	73.016
343_CONO_12same	sp|P60274|CA1D_CONGE	1.5	11.5	18	36.842
344_CONO_12same	sp|P60274|CA1D_CONGE	2.62e-31	90.1	222	76.923
344_CONO_12same	sp|P60274|CA1D_CONGE	7.1	 9.6	13	37.500
345_CONO_12same	sp|P60274|CA1D_CONGE	1.80e-32	93.2	230	73.016
346_CONO_12same	sp|P60274|CA1D_CONGE	5.34e-23	69.3	168	66.667
347_CONO_12same	sp|P60274|CA1D_CONGE	2.95e-21	64.7	156	71.212
348_CONO_12same	sp|P60274|CA1D_CONGE	3.76e-22	67.0	162	78.571
349_CONO_13same	sp|P60274|CA1D_CONGE	2.77e-22	67.4	163	68.889
349_CONO_13same	sp|P60274|CA1D_CONGE	3.0	10.8	16	50.000
350_CONO_13same	sp|P60274|CA1D_CONGE	1.15e-22	68.2	165	84.615
351_CONO_13same	sp|P60274|CA1D_CONGE	2.32e-21	65.1	157	66.667
351_CONO_13same	sp|P60274|CA1D_CONGE	0.20	13.9	24	66.667
352_CONO_13same	sp|P60274|CA1D_CONGE	3.07e-40	112	281	87.879
352_CONO_13same	sp|P60274|CA1D_CONGE	2.8	10.8	16	50.000
353_CONO_13same	sp|P60274|CA1D_CONGE	3.14e-33	95.1	235	80.702
354_CONO_13same	sp|P60274|CA1D_CONGE	1.39e-18	58.2	139	83.333
354_CONO_13same	sp|P60274|CA1D_CONGE	2.0	11.2	17	41.176
355_CONO_13same	sp|P60274|CA1D_CONGE	5.40e-24	71.6	174	80.303
356_CONO_13same	sp|P60274|CA1D_CONGE	4.15e-25	74.3	181	75.000
356_CONO_13same	sp|P60274|CA1D_CONGE	0.53	12.7	21	30.769
357_CONO_13same	sp|P60274|CA1D_CONGE	1.02e-26	78.6	192	88.095
358_CONO_13same	sp|P60274|CA1D_CONGE	5.20e-19	58.9	141	89.655
359_CONO_13same	sp|P60274|CA1D_CONGE	1.25e-11	40.4	93	73.077
360_CONO_13same	sp|P60274|CA1D_CONGE	6.78e-27	79.0	193	75.556
361_CONO_13same	sp|P60274|CA1D_CONGE	5.23e-12	41.2	95	74.510
362_CONO_13same	sp|P60274|CA1D_CONGE	2.43e-40	112	281	77.273
363_CONO_13same	sp|P60274|CA1D_CONGE	2.02e-34	97.8	242	71.212
363_CONO_13same	sp|P60274|CA1D_CONGE	7.3	 9.6	13	50.000
364_CONO_13same	sp|P60274|CA1D_CONGE	4.57e-26	77.0	188	65.152
365_CONO_13same	sp|P60274|CA1D_CONGE	3.54e-40	112	280	86.364
366_CONO_13same	sp|P60274|CA1D_CONGE	4.37e-19	59.3	142	84.314
367_CONO_13same	sp|P60274|CA1D_CONGE	7.16e-20	61.2	147	63.636
368_CONO_13same	sp|P60274|CA1D_CONGE	1.73e-25	75.5	184	84.783
369_CONO_13same	sp|P60274|CA1D_CONGE	5.52e-24	71.6	174	81.250
369_CONO_13same	sp|P60274|CA1D_CONGE	3.9	10.4	15	40.000
370_CONO_13same	sp|P60274|CA1D_CONGE	2.03e-25	75.1	183	77.273
371_CONO_13same	sp|P60274|CA1D_CONGE	8.76e-31	89.0	219	90.196
371_CONO_13same	sp|P60274|CA1D_CONGE	1.8	11.2	17	32.000
372_CONO_13same	sp|P60274|CA1D_CONGE	1.21e-13	45.4	106	66.667
373_CONO_13same	sp|P60274|CA1D_CONGE	2.16e-28	82.8	203	86.275
373_CONO_13same	sp|P60274|CA1D_CONGE	2.6	10.8	16	33.333
373_CONO_13same	sp|P60274|CA1D_CONGE	7.7	 9.6	13	23.077
374_CONO_13same	sp|P60274|CA1D_CONGE	1.17e-26	78.6	192	86.364
375_CONO_13same	sp|P60274|CA1D_CONGE	2.89e-38	107	268	84.848
376_CONO_13same	sp|P60274|CA1D_CONGE	3.07e-37	105	261	80.303
377_CONO_13same	sp|P60274|CA1D_CONGE	1.38e-16	52.8	125	75.000
377_CONO_13same	sp|P60274|CA1D_CONGE	3.9	10.4	15	50.000
378_CONO_14same	sp|P60274|CA1D_CONGE	1.04e-30	88.6	218	87.037
378_CONO_14same	sp|P60274|CA1D_CONGE	1.6	11.5	18	43.750
379_CONO_14same	sp|P60274|CA1D_CONGE	6.38e-18	56.2	134	93.333
379_CONO_14same	sp|P60274|CA1D_CONGE	2.4	10.8	16	43.750
380_CONO_14same	sp|P60274|CA1D_CONGE	3.38e-30	87.4	215	78.261
381_CONO_14same	sp|P60274|CA1D_CONGE	1.74e-39	110	276	83.333
382_CONO_14same	sp|P60274|CA1D_CONGE	1.25e-28	83.2	204	92.857
383_CONO_14same	sp|P60274|CA1D_CONGE	1.67e-41	115	289	87.692
384_CONO_14same	sp|P60274|CA1D_CONGE	2.48e-35	100	248	79.365
385_CONO_14same	sp|P60274|CA1D_CONGE	1.72e-32	93.2	230	83.333
386_CONO_14same	sp|P60274|CA1D_CONGE	9.46e-35	99.0	245	80.303
387_CONO_14same	sp|P60274|CA1D_CONGE	1.74e-27	80.5	197	80.303
388_CONO_14same	sp|P60274|CA1D_CONGE	3.09e-44	122	307	92.424
388_CONO_14same	sp|P60274|CA1D_CONGE	0.63	12.3	20	38.095
389_CONO_14same	sp|P60274|CA1D_CONGE	2.53e-31	90.1	222	87.879
390_CONO_14same	sp|P60274|CA1D_CONGE	3.84e-31	89.7	221	81.818
391_CONO_14same	sp|P60274|CA1D_CONGE	1.38e-11	40.0	92	85.417
392_CONO_14same	sp|P60274|CA1D_CONGE	7.19e-31	89.0	219	95.745
392_CONO_14same	sp|P60274|CA1D_CONGE	0.63	12.3	20	38.095
